language,id,text,original,file,node,lineNumber,lock,comment
de,line:3cc586f7,,"Bran: Ah Mai du bist da, gut!",res://game/dialogs/yarnspinner/exhebition/exhebition_bran.yarn,ExhebitionBran,4,009849c1,
de,line:aaf58180,,Mai: Was ist passiert?,res://game/dialogs/yarnspinner/exhebition/exhebition_bran.yarn,ExhebitionBran,5,96610473,
de,line:10a48819,,Bran: Wie es aussieht wurde der Leiter dieser Ausstellung ermordet.,res://game/dialogs/yarnspinner/exhebition/exhebition_bran.yarn,ExhebitionBran,6,e09a88e4,Line metadata: lastline
de,line:86948f6e,,Am hellichten Tage?,res://game/dialogs/yarnspinner/exhebition/exhebition_bran.yarn,ExhebitionBran,7,3f9870d0,
de,line:2501ebf0,,"Bran: Erstaunlicherweise ja. Er ist wohl einfach Tod umgefallen. Da er sich in einer Menschenmenge befand ist unklar, was genau passiert ist. Marlon untersucht gerade die Leiche.",res://game/dialogs/yarnspinner/exhebition/exhebition_bran.yarn,ExhebitionBran,8,e3f0f33e,Line metadata: lastline
de,line:b331ec87,,In Ordnung. Ich werde mich umsehen.,res://game/dialogs/yarnspinner/exhebition/exhebition_bran.yarn,ExhebitionBran,9,ff5879ea,
de,line:0960e51e,,In Ordnung. Ich werde mich umsehen.,res://game/dialogs/yarnspinner/exhebition/exhebition_bran.yarn,ExhebitionBran,10,ff5879ea,
de,line:9f50e269,,Bran: Sprich bei Gelegenheit mit Marlon.,res://game/dialogs/yarnspinner/exhebition/exhebition_bran.yarn,ExhebitionBran,11,d5c9098c,
de,line:720ec8f2,,"Mai: Guck mal Bran. Hast du eine Idee, was das sein könnte?",res://game/dialogs/yarnspinner/exhebition/exhebition_bran.yarn,ExhebitionBranInteraction,17,dbf93e1f,
de,line:e43ecf85,,"Bran: Hmm. Das scheint irgendeine Flüssigkeit zu sein, die sitrisyschem Öl ähnelt. Ich bin mir sicher, dass es sich dabei um eine Art Nervengift handeln muss!",res://game/dialogs/yarnspinner/exhebition/exhebition_bran.yarn,ExhebitionBranInteraction,18,758e6c37,
de,line:50dffc3d,,Marlon: Ich untersuche die Leiche. Es scheint aber keine sichtbaren Verletzungen zu geben.,res://game/dialogs/yarnspinner/exhebition/exhebition_marlon.yarn,ExhebitionMarlon,4,29b03a72,Line metadata: lastline
de,line:c6effb4a,,Also ist er einfach tot umgefallen?,res://game/dialogs/yarnspinner/exhebition/exhebition_marlon.yarn,ExhebitionMarlon,5,b19a73a9,
de,line:7cbef2d3,,"Marlon: Scheint so. Allerdings sind seine Gelenke total verdreht. Und siehst du das? Das sitrisysche Öl in seinen Prothesen ist seltsam grün verfärbt. Ich sage Bescheid, wenn ich noch mehr finde.",res://game/dialogs/yarnspinner/exhebition/exhebition_marlon.yarn,ExhebitionMarlon,6,9f0c7cda,
de,line:ea8ef5a4,,"Hm okay. Ich werde mich weiter umsehen. Sag Bescheid, wenn du etwas findest.",res://game/dialogs/yarnspinner/exhebition/exhebition_marlon.yarn,ExhebitionMarlon,7,7d323833,
de,line:0db39f25,,Mai: Marlon hast du schon etwas entdeckt? Gibt es vielleicht Anzeichen auf einen Selbstmord?,res://game/dialogs/yarnspinner/exhebition/exhebition_marlon.yarn,ExhebitionMarlonInteraction,13,8690123e,
de,line:9b839852,,"Marlon: Hmm. Nein das denke ich nicht. Es gibt nichts, was darauf schließen würde.",res://game/dialogs/yarnspinner/exhebition/exhebition_marlon.yarn,ExhebitionMarlonInteraction,14,d4c454c8,
de,line:9c05e5d0,,Ermittler aus Bezirk Pyr: Was wollt ihr aus Bezirk Gaia denn hier?,res://game/dialogs/yarnspinner/exhebition/exhebition_pyr_soldier_a.yarn,ExhebitionPyrSoldierA,4,512afb71,Line metadata: lastline
de,line:0a35e2a7,,Was wisst ihr über den Fall?,res://game/dialogs/yarnspinner/exhebition/exhebition_pyr_soldier_a.yarn,ExhebitionPyrSoldierA,5,c8b7bae9,
de,line:9b285d37,,"Mai: Ihr scheint nicht sonderlich erfolgreich in euren Ermittlungen zu sein. Wir dachten uns, dass wir mal nicht so sind und euch unter die Arme greifen. Was habt ihr bisher herausgefunden?",res://game/dialogs/yarnspinner/exhebition/exhebition_pyr_soldier_a.yarn,ExhebitionPyrSoldierA,6,048f8824,
de,line:0d185a40,,"Ermittler aus Bezirk Pyr: Ach ja? Von mir aus. Der Unternehmer, der diese Ausstellung geleitet hat, ist plötzlich ausgerastet und hat wie wild um sich geschlagen. Dabei hat er viele Besucher um sich herum leicht verletzt, aber bis auf einen der Mitarbeiter ist niemand wirklich schwer zu Schaden gekommen. Das kann man von der Ausstellung jedoch nicht behaupten. In seinem Todeswahn hat er einen Großteil der Ausstellung zerstört.",res://game/dialogs/yarnspinner/exhebition/exhebition_pyr_soldier_a.yarn,ExhebitionPyrSoldierA,7,9a8838c5,
de,line:6af3ab12,,Ach nichts...,res://game/dialogs/yarnspinner/exhebition/exhebition_pyr_soldier_a.yarn,ExhebitionPyrSoldierA,8,9d28d3e8,
de,line:c916e2c2,,"Ermittler aus Bezirk Pyr: Ich muss mich wundern, was ihr in unserem Bezirk wollt?",res://game/dialogs/yarnspinner/exhebition/exhebition_pyr_soldier_b.yarn,ExhebitionPyrSoldierB,4,6ba85a01,Line metadata: lastline
de,line:7347eb5b,,"Der Konstrukteur wird sich schon etwas dabei gedacht haben, euch zu misstrauen.",res://game/dialogs/yarnspinner/exhebition/exhebition_pyr_soldier_b.yarn,ExhebitionPyrSoldierB,5,c03f92cb,
de,line:e577ec2c,,"Ermittler aus Bezirk Pyr: Ach ja? Parus mag es nicht, wenn man in seinem Territorium herumstochert.",res://game/dialogs/yarnspinner/exhebition/exhebition_pyr_soldier_b.yarn,ExhebitionPyrSoldierB,6,0c82f6ff,Line metadata: lastline
de,line:46e288b2,,Kommt ihr denn alleine zurecht? Wisst ihr was hier passiert ist?,res://game/dialogs/yarnspinner/exhebition/exhebition_pyr_soldier_b.yarn,ExhebitionPyrSoldierB,7,e6a4c15f,
